class,en,cn
age,age,年龄
help_helioplot_models,Model:,模型：
detrital_correction_none,none,无 
where,where:,地点：
references,<u>References:</u>,<u>参考文献：</u>
legend,<u>Legend:</u>,<u>图例：</u>
omega_u,width of the upper half of a (1-&alpha;)% confidence interval for &omega;.,&omega; (1-&alpha;)%置信区间的上半宽。
omega_l,width of the lower half of a (1-&alpha;)% confidence interval for &omega;.,&omega; (1-&alpha;)%置信区间的下半宽。
omit,Optional variable used to hide or ignore aliquots. Aliquots marked as (lowercase) '<tt>x</tt>' are plotted (except on KDEs and CADs) but ignored for numerical analysis; Aliquots marked as (uppercase) '<tt>X</tt>' are removed from both plots and calculations.,用来隐藏或者忽略等分 (aliquots) 的可选变量。标注为（小写）'<tt>x</tt>'的等分进行投图（除了KDE和CAD图）但是不进行数值分析；标注为（大写）'<tt>X</tt>'的等分被从投图和计算中剔除。
C,Optional variable to be used as fill colours in isochron and radial plots.,用来填充等时线和星状图的可选变量。
inverse,Inverse isochron?,反等时线？
input,Input format:,输入格式：
pch,Plot character:,绘制字符: 
exterr,Propagate external uncertainties?,传递外部误差？
12sigma,"(<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>)","(<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>)"
